corridor_id,observation_time,route_zone,avg_speed_kmh,delay_minutes,congestion_level,data_origin
TRF-CORR-Zone-F,2026-09-24 13:10:00,Zone-F,46.0,4.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:15:00,Zone-A,50.8,4.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:15:00,Zone-B,51.8,2.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:15:00,Zone-C,51.2,4.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:15:00,Zone-D,54.0,3.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:15:00,Zone-E,50.3,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:15:00,Zone-F,46.7,4.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:20:00,Zone-A,52.8,2.2,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:20:00,Zone-B,50.9,3.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:20:00,Zone-C,46.9,3.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:20:00,Zone-D,54.7,3.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:20:00,Zone-E,46.1,3.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:20:00,Zone-F,52.8,4.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:25:00,Zone-A,52.2,2.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:25:00,Zone-B,54.7,3.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:25:00,Zone-C,45.8,2.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:25:00,Zone-D,45.9,4.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:25:00,Zone-E,46.5,4.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:25:00,Zone-F,46.1,3.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:30:00,Zone-A,49.4,2.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:30:00,Zone-B,45.0,4.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:30:00,Zone-C,54.8,2.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:30:00,Zone-D,52.3,5.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:30:00,Zone-E,54.0,4.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:30:00,Zone-F,48.4,4.2,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:35:00,Zone-A,50.0,4.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:35:00,Zone-B,32.0,12.0,moderate,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:35:00,Zone-C,53.6,3.2,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:35:00,Zone-D,52.1,2.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:35:00,Zone-E,47.1,4.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:35:00,Zone-F,49.0,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:40:00,Zone-A,50.8,2.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:40:00,Zone-B,12.0,29.5,severe,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:40:00,Zone-C,46.9,2.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:40:00,Zone-D,53.3,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:40:00,Zone-E,54.6,4.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:40:00,Zone-F,54.6,2.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:45:00,Zone-A,46.9,2.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:45:00,Zone-B,11.3,30.6,severe,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:45:00,Zone-C,45.6,2.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:45:00,Zone-D,50.5,3.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:45:00,Zone-E,50.1,4.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:45:00,Zone-F,53.6,4.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:50:00,Zone-A,50.8,2.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:50:00,Zone-B,10.9,26.1,severe,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:50:00,Zone-C,52.0,2.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:50:00,Zone-D,51.2,2.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:50:00,Zone-E,49.3,2.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:50:00,Zone-F,48.8,3.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:55:00,Zone-A,47.6,2.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:55:00,Zone-B,11.2,26.4,severe,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:55:00,Zone-C,47.7,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:55:00,Zone-D,47.7,3.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:55:00,Zone-E,45.7,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:55:00,Zone-F,46.4,2.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:00:00,Zone-A,52.3,3.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:00:00,Zone-B,14.0,29.0,severe,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:00:00,Zone-C,49.8,3.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:00:00,Zone-D,54.1,4.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:00:00,Zone-E,50.5,4.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:00:00,Zone-F,51.1,4.2,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:05:00,Zone-A,50.2,3.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:05:00,Zone-B,13.8,34.2,severe,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:05:00,Zone-C,51.1,2.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:05:00,Zone-D,46.1,4.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:05:00,Zone-E,52.0,4.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:05:00,Zone-F,53.9,2.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:10:00,Zone-A,54.9,3.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:10:00,Zone-B,24.6,16.9,moderate,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:10:00,Zone-C,49.6,2.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:10:00,Zone-D,48.4,3.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:10:00,Zone-E,47.7,2.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:10:00,Zone-F,53.0,3.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:15:00,Zone-A,48.6,4.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:15:00,Zone-B,25.1,18.8,moderate,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:15:00,Zone-C,47.4,3.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:15:00,Zone-D,48.7,5.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:15:00,Zone-E,47.4,3.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:15:00,Zone-F,50.3,2.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:20:00,Zone-A,46.8,4.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:20:00,Zone-B,23.8,19.6,moderate,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:20:00,Zone-C,50.9,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:20:00,Zone-D,54.1,2.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:20:00,Zone-E,50.0,4.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:20:00,Zone-F,46.9,2.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:25:00,Zone-A,53.8,4.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:25:00,Zone-B,30.3,15.9,moderate,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:25:00,Zone-C,52.6,2.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:25:00,Zone-D,46.5,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:25:00,Zone-E,48.9,3.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:25:00,Zone-F,49.4,3.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:30:00,Zone-A,49.7,3.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:30:00,Zone-B,26.9,18.9,moderate,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:30:00,Zone-C,47.9,4.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:30:00,Zone-D,47.1,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:30:00,Zone-E,51.8,3.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:30:00,Zone-F,49.8,4.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:35:00,Zone-A,48.6,2.2,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:35:00,Zone-B,45.1,7.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:35:00,Zone-C,46.9,3.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:35:00,Zone-D,47.1,4.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:35:00,Zone-E,49.1,2.2,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:35:00,Zone-F,51.3,2.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:40:00,Zone-A,53.9,4.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:40:00,Zone-B,44.2,5.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:40:00,Zone-C,46.1,2.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:40:00,Zone-D,45.7,4.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:40:00,Zone-E,51.7,4.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:40:00,Zone-F,51.6,2.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:45:00,Zone-A,47.8,3.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:45:00,Zone-B,40.6,7.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:45:00,Zone-C,49.1,3.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:45:00,Zone-D,53.5,4.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:45:00,Zone-E,49.6,3.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:45:00,Zone-F,47.0,3.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:50:00,Zone-A,53.3,3.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:50:00,Zone-B,39.2,5.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:50:00,Zone-C,50.8,4.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:50:00,Zone-D,46.1,3.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:50:00,Zone-E,49.6,2.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:50:00,Zone-F,51.3,2.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 14:55:00,Zone-A,51.9,3.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 14:55:00,Zone-B,44.1,5.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 14:55:00,Zone-C,48.1,2.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 14:55:00,Zone-D,45.9,2.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 14:55:00,Zone-E,50.2,2.2,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 14:55:00,Zone-F,46.1,3.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 15:00:00,Zone-A,51.8,2.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 15:00:00,Zone-B,45.4,7.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 15:00:00,Zone-C,54.9,3.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 15:00:00,Zone-D,53.9,3.0,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 15:00:00,Zone-E,47.8,3.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 15:00:00,Zone-F,45.2,4.2,low,Demo data — simulated civic feeds
